Uuid,Void/Retire,Name,Description,_version:1,Tipo de Consulta Padre
h06-7f3a-4e7b-91a2-neonatologia,,Hospitalización - Neonatología,"Hospitalización en servicio de neonatología para atención de recién nacidos.",1,e4c8b6d9-7f3a-4e7b-91a2-58b9f6c2d4b5
h07-7f3a-4e7b-91a2-uci-adultos,,Hospitalización - UCI Adultos,"Hospitalización en unidad de cuidados intensivos para pacientes adultos críticos.",1,e4c8b6d9-7f3a-4e7b-91a2-58b9f6c2d4b5
h08-7f3a-4e7b-91a2-uci-pediatrica,,Hospitalización - UCI Pediátrica,"Hospitalización en unidad de cuidados intensivos pediátrica para niños en estado crítico.",1,e4c8b6d9-7f3a-4e7b-91a2-58b9f6c2d4b5
c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98,,Emergencia,"Servicio de emergencia para atención inmediata en casos agudos o críticos, sin internamiento hospitalario. Conforme a la NTS N° 021-MINSA.",1,
e01-4b8f-4326-94d9-trauma-shock,,Emergencia - Trauma Shock,"Atención de emergencia en unidad de trauma shock para casos críticos y politraumatizados.",1,c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98
e02-4b8f-4326-94d9-medicina-em,,Emergencia - Medicina,"Atención de emergencia médica para patologías agudas no quirúrgicas.",1,c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98
e03-4b8f-4326-94d9-cirugia-em,,Emergencia - Cirugía,"Atención de emergencia quirúrgica para casos que requieren intervención inmediata.",1,c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98
e04-4b8f-4326-94d9-pediatria-em,,Emergencia - Pediatría,"Atención de emergencia pediátrica para casos agudos en niños y adolescentes.",1,c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98
e05-4b8f-4326-94d9-obstetricia-em,,Emergencia - Obstetricia,"Atención de emergencia obstétrica para complicaciones del embarazo y parto.",1,c2a1d3e2-4b8f-4326-94d9-7f6c9a1b7c98
110001d9-7f3a-4e7b-91a2-580b216a7c42,,Dispensación de Medicamentos,"Servicio de farmacia encargado de la dispensación y control de medicamentos conforme a las prescripciones médicas. Según la NTS N° 139-MINSA.",1,
m6d9a5c3-4e7b-48f1-9d2e-8a5b7c2d3e9f,,Procedimientos Especializados,"Servicio central de esterilización para el procesamiento, desinfección y esterilización de materiales médicos y quirúrgicos. Conforme a la NTS N° 080-MINSA.",1,
jcd1f4a7-5b3e-48c9-84a5-1500006a7c44,,Consulta Diagnóstica,"Servicio de patología clínica que realiza análisis de muestras biológicas para apoyar el diagnóstico de enfermedades. Según la NTS N° 025-MINSA.",1,
m6d9a5c3-4e7b-48f1-9d2e-111111111111,,Atención Extramural,"Servicio central de esterilización para el procesamiento, desinfección y esterilización de materiales médicos y quirúrgicos. Conforme a la NTS N° 080-MINSA.",1,
